,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,276,0.037786,2500,"(3, 1)","(1, 10)",2
1,9,20,No_reverse,Solved,1,1549,0.157746,2500,"(3, 1)","(1, 10)",2
2,9,20,Breadth-first,Unsolved,1,2500,1.986183,2500,"(3, 1)","(1, 10)",2
3,9,20,Depth-first,Solved,1,1535,0.217932,2500,"(3, 1)","(1, 10)",2
4,9,21,Random,Unsolved,1,2500,0.412102,2500,"(3, 1)","(1, 10)",2
5,9,21,No_reverse,Solved,1,844,0.078855,2500,"(3, 1)","(1, 10)",2
6,9,21,Breadth-first,Unsolved,1,2500,2.059629,2500,"(3, 1)","(1, 10)",2
7,9,21,Depth-first,Unsolved,1,2500,0.391275,2500,"(3, 1)","(1, 10)",2
8,9,22,Random,Unsolved,1,2500,0.438422,2500,"(3, 1)","(1, 10)",2
9,9,22,No_reverse,Solved,1,399,0.092606,2500,"(3, 1)","(1, 10)",2
10,9,22,Breadth-first,Unsolved,1,2500,2.092155,2500,"(3, 1)","(1, 10)",2
11,9,22,Depth-first,Solved,1,86,0.008286,2500,"(3, 1)","(1, 10)",2
12,9,23,Random,Unsolved,1,2500,0.448456,2500,"(3, 1)","(1, 10)",2
13,9,23,No_reverse,Solved,1,1768,0.300003,2500,"(3, 1)","(1, 10)",2
14,9,23,Breadth-first,Unsolved,1,2500,2.230074,2500,"(3, 1)","(1, 10)",2
15,9,23,Depth-first,Solved,1,2262,0.365272,2500,"(3, 1)","(1, 10)",2
16,9,24,Random,Solved,1,1622,0.277857,2500,"(3, 1)","(1, 10)",2
17,9,24,No_reverse,Solved,1,137,0.048910,2500,"(3, 1)","(1, 10)",2
18,9,24,Breadth-first,Unsolved,1,2500,2.373425,2500,"(3, 1)","(1, 10)",2
19,9,24,Depth-first,Solved,1,193,0.045688,2500,"(3, 1)","(1, 10)",2
20,9,25,Random,Solved,1,825,0.111304,2500,"(3, 1)","(1, 10)",2
21,9,25,No_reverse,Unsolved,1,2500,0.518680,2500,"(3, 1)","(1, 10)",2
22,9,25,Breadth-first,Unsolved,1,2500,2.386489,2500,"(3, 1)","(1, 10)",2
23,9,25,Depth-first,Unsolved,1,2500,0.491653,2500,"(3, 1)","(1, 10)",2
24,9,26,Random,Solved,1,364,0.071450,2500,"(3, 1)","(1, 10)",2
25,9,26,No_reverse,Solved,1,19,0.002065,2500,"(3, 1)","(1, 10)",2
26,9,26,Breadth-first,Unsolved,1,2500,2.530939,2500,"(3, 1)","(1, 10)",2
27,9,26,Depth-first,Solved,1,1654,0.309967,2500,"(3, 1)","(1, 10)",2
28,9,27,Random,Solved,1,760,0.134545,2500,"(3, 1)","(1, 10)",2
29,9,27,No_reverse,Solved,1,192,0.020718,2500,"(3, 1)","(1, 10)",2
30,9,27,Breadth-first,Unsolved,1,2500,2.590570,2500,"(3, 1)","(1, 10)",2
31,9,27,Depth-first,Unsolved,1,2500,0.368617,2500,"(3, 1)","(1, 10)",2
32,9,28,Random,Solved,1,706,0.119936,2500,"(3, 1)","(1, 10)",2
33,9,28,No_reverse,Solved,1,349,0.055516,2500,"(3, 1)","(1, 10)",2
34,9,28,Breadth-first,Unsolved,1,2500,2.686258,2500,"(3, 1)","(1, 10)",2
35,9,28,Depth-first,Unsolved,1,2500,0.451151,2500,"(3, 1)","(1, 10)",2
36,9,29,Random,Unsolved,1,2500,0.445628,2500,"(3, 1)","(1, 10)",2
37,9,29,No_reverse,Unsolved,1,2500,0.369501,2500,"(3, 1)","(1, 10)",2
38,9,29,Breadth-first,Unsolved,1,2500,2.640619,2500,"(3, 1)","(1, 10)",2
39,9,29,Depth-first,Unsolved,1,2500,0.376391,2500,"(3, 1)","(1, 10)",2
40,9,20,Random,Solved,1,1406,0.209932,2500,"(3, 1)","(1, 10)",2
41,9,20,No_reverse,Solved,1,1073,0.180748,2500,"(3, 1)","(1, 10)",2
42,9,20,Breadth-first,Unsolved,1,2500,1.940199,2500,"(3, 1)","(1, 10)",2
43,9,20,Depth-first,Solved,1,99,0.010262,2500,"(3, 1)","(1, 10)",2
44,9,21,Random,Solved,1,1687,0.237691,2500,"(3, 1)","(1, 10)",2
45,9,21,No_reverse,Solved,1,546,0.088344,2500,"(3, 1)","(1, 10)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.847571,2500,"(3, 1)","(1, 10)",2
47,9,21,Depth-first,Solved,1,1898,0.308536,2500,"(3, 1)","(1, 10)",2
48,9,22,Random,Solved,1,2194,0.289129,2500,"(3, 1)","(1, 10)",2
49,9,22,No_reverse,Solved,1,418,0.060005,2500,"(3, 1)","(1, 10)",2
50,9,22,Breadth-first,Unsolved,1,2500,2.027792,2500,"(3, 1)","(1, 10)",2
51,9,22,Depth-first,Solved,1,1145,0.160449,2500,"(3, 1)","(1, 10)",2
52,9,23,Random,Unsolved,1,2500,0.367180,2500,"(3, 1)","(1, 10)",2
53,9,23,No_reverse,Unsolved,1,2500,0.387346,2500,"(3, 1)","(1, 10)",2
54,9,23,Breadth-first,Unsolved,1,2500,2.175657,2500,"(3, 1)","(1, 10)",2
55,9,23,Depth-first,Solved,1,1223,0.177020,2500,"(3, 1)","(1, 10)",2
56,9,24,Random,Solved,1,2286,0.366397,2500,"(3, 1)","(1, 10)",2
57,9,24,No_reverse,Unsolved,1,2500,0.398977,2500,"(3, 1)","(1, 10)",2
58,9,24,Breadth-first,Unsolved,1,2500,1.990447,2500,"(3, 1)","(1, 10)",2
59,9,24,Depth-first,Solved,1,728,0.137175,2500,"(3, 1)","(1, 10)",2
60,9,25,Random,Solved,1,140,0.024152,2500,"(3, 1)","(1, 10)",2
