,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,139,0.014051,2500,"(3, 1)","(2, 1)",2
1,9,20,No_reverse,Solved,1,100,0.009623,2500,"(3, 1)","(2, 1)",2
2,9,20,Breadth-first,Solved,1,372,0.164019,2500,"(3, 1)","(2, 1)",2
3,9,20,Depth-first,Solved,1,346,0.033623,2500,"(3, 1)","(2, 1)",2
4,9,21,Random,Solved,1,148,0.013876,2500,"(3, 1)","(2, 1)",2
5,9,21,No_reverse,Solved,1,118,0.010452,2500,"(3, 1)","(2, 1)",2
6,9,21,Breadth-first,Solved,1,1,0.000783,2500,"(3, 1)","(2, 1)",2
7,9,21,Depth-first,Solved,1,179,0.017372,2500,"(3, 1)","(2, 1)",2
8,9,22,Random,Solved,1,691,0.066766,2500,"(3, 1)","(2, 1)",2
9,9,22,No_reverse,Solved,1,215,0.020651,2500,"(3, 1)","(2, 1)",2
10,9,22,Breadth-first,Unsolved,1,2500,1.211644,2500,"(3, 1)","(2, 1)",2
11,9,22,Depth-first,Solved,1,178,0.016969,2500,"(3, 1)","(2, 1)",2
12,9,23,Random,Unsolved,1,2500,0.232623,2500,"(3, 1)","(2, 1)",2
13,9,23,No_reverse,Unsolved,1,2500,0.223475,2500,"(3, 1)","(2, 1)",2
14,9,23,Breadth-first,Unsolved,1,2500,1.278386,2500,"(3, 1)","(2, 1)",2
15,9,23,Depth-first,Unsolved,1,2500,0.232521,2500,"(3, 1)","(2, 1)",2
16,9,24,Random,Solved,1,310,0.029281,2500,"(3, 1)","(2, 1)",2
17,9,24,No_reverse,Solved,1,100,0.008648,2500,"(3, 1)","(2, 1)",2
18,9,24,Breadth-first,Solved,1,51,0.022044,2500,"(3, 1)","(2, 1)",2
19,9,24,Depth-first,Solved,1,116,0.011186,2500,"(3, 1)","(2, 1)",2
20,9,25,Random,Unsolved,1,2500,0.231325,2500,"(3, 1)","(2, 1)",2
21,9,25,No_reverse,Solved,1,18,0.001747,2500,"(3, 1)","(2, 1)",2
22,9,25,Breadth-first,Unsolved,1,2500,1.326678,2500,"(3, 1)","(2, 1)",2
23,9,25,Depth-first,Unsolved,1,2500,0.241649,2500,"(3, 1)","(2, 1)",2
24,9,26,Random,Solved,1,170,0.018231,2500,"(3, 1)","(2, 1)",2
25,9,26,No_reverse,Solved,1,201,0.021602,2500,"(3, 1)","(2, 1)",2
26,9,26,Breadth-first,Unsolved,1,2500,1.383705,2500,"(3, 1)","(2, 1)",2
27,9,26,Depth-first,Solved,1,84,0.009218,2500,"(3, 1)","(2, 1)",2
28,9,27,Random,Solved,1,223,0.023201,2500,"(3, 1)","(2, 1)",2
29,9,27,No_reverse,Solved,1,1314,0.132904,2500,"(3, 1)","(2, 1)",2
30,9,27,Breadth-first,Unsolved,1,2500,1.434072,2500,"(3, 1)","(2, 1)",2
31,9,27,Depth-first,Solved,1,502,0.052650,2500,"(3, 1)","(2, 1)",2
32,9,28,Random,Unsolved,1,2500,0.245365,2500,"(3, 1)","(2, 1)",2
33,9,28,No_reverse,Unsolved,1,2500,0.247717,2500,"(3, 1)","(2, 1)",2
34,9,28,Breadth-first,Unsolved,1,2500,1.478309,2500,"(3, 1)","(2, 1)",2
35,9,28,Depth-first,Unsolved,1,2500,0.256535,2500,"(3, 1)","(2, 1)",2
36,9,29,Random,Solved,1,1951,0.200342,2500,"(3, 1)","(2, 1)",2
37,9,29,No_reverse,Solved,1,1250,0.129681,2500,"(3, 1)","(2, 1)",2
38,9,29,Breadth-first,Unsolved,1,2500,1.420972,2500,"(3, 1)","(2, 1)",2
39,9,29,Depth-first,Solved,1,577,0.059314,2500,"(3, 1)","(2, 1)",2
40,9,20,Random,Solved,1,103,0.008804,2500,"(3, 1)","(2, 1)",2
41,9,20,No_reverse,Solved,1,21,0.001827,2500,"(3, 1)","(2, 1)",2
42,9,20,Breadth-first,Unsolved,1,2500,1.122609,2500,"(3, 1)","(2, 1)",2
43,9,20,Depth-first,Solved,1,1297,0.117764,2500,"(3, 1)","(2, 1)",2
44,9,21,Random,Solved,1,625,0.061340,2500,"(3, 1)","(2, 1)",2
45,9,21,No_reverse,Unsolved,1,2500,0.253049,2500,"(3, 1)","(2, 1)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.219394,2500,"(3, 1)","(2, 1)",2
47,9,21,Depth-first,Unsolved,1,2500,0.253100,2500,"(3, 1)","(2, 1)",2
48,9,22,Random,Solved,1,1954,0.167512,2500,"(3, 1)","(2, 1)",2
49,9,22,No_reverse,Unsolved,1,2500,0.217769,2500,"(3, 1)","(2, 1)",2
50,9,22,Breadth-first,Unsolved,1,2500,1.282045,2500,"(3, 1)","(2, 1)",2
51,9,22,Depth-first,Unsolved,1,2500,0.224236,2500,"(3, 1)","(2, 1)",2
52,9,23,Random,Solved,1,103,0.009996,2500,"(3, 1)","(2, 1)",2
53,9,23,No_reverse,Solved,1,2183,0.200172,2500,"(3, 1)","(2, 1)",2
54,9,23,Breadth-first,Solved,1,983,0.431137,2500,"(3, 1)","(2, 1)",2
55,9,23,Depth-first,Solved,1,738,0.069196,2500,"(3, 1)","(2, 1)",2
56,9,24,Random,Solved,1,90,0.008997,2500,"(3, 1)","(2, 1)",2
57,9,24,No_reverse,Solved,1,683,0.066603,2500,"(3, 1)","(2, 1)",2
58,9,24,Breadth-first,Unsolved,1,2500,1.309028,2500,"(3, 1)","(2, 1)",2
59,9,24,Depth-first,Solved,1,265,0.024672,2500,"(3, 1)","(2, 1)",2
60,9,25,Random,Solved,1,2240,0.219709,2500,"(3, 1)","(2, 1)",2
61,9,25,No_reverse,Solved,1,916,0.094925,2500,"(3, 1)","(2, 1)",2
62,9,25,Breadth-first,Unsolved,1,2500,1.350235,2500,"(3, 1)","(2, 1)",2
63,9,25,Depth-first,Unsolved,1,2500,0.252234,2500,"(3, 1)","(2, 1)",2
64,9,26,Random,Solved,1,2013,0.195250,2500,"(3, 1)","(2, 1)",2
65,9,26,No_reverse,Solved,1,393,0.038518,2500,"(3, 1)","(2, 1)",2
66,9,26,Breadth-first,Unsolved,1,2500,1.385148,2500,"(3, 1)","(2, 1)",2
67,9,26,Depth-first,Unsolved,1,2500,0.255512,2500,"(3, 1)","(2, 1)",2
68,9,27,Random,Unsolved,1,2500,0.221908,2500,"(3, 1)","(2, 1)",2
69,9,27,No_reverse,Unsolved,1,2500,0.224261,2500,"(3, 1)","(2, 1)",2
