,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,515,0.049253,2500,"(3, 1)","(3, 1)",2
1,9,20,No_reverse,Solved,1,1103,0.102801,2500,"(3, 1)","(3, 1)",2
2,9,20,Breadth-first,Unsolved,1,2500,1.225799,2500,"(3, 1)","(3, 1)",2
3,9,20,Depth-first,Solved,1,1197,0.114975,2500,"(3, 1)","(3, 1)",2
4,9,21,Random,Solved,1,290,0.027842,2500,"(3, 1)","(3, 1)",2
5,9,21,No_reverse,Solved,1,711,0.071747,2500,"(3, 1)","(3, 1)",2
6,9,21,Breadth-first,Unsolved,1,2500,1.587158,2500,"(3, 1)","(3, 1)",2
7,9,21,Depth-first,Solved,1,1069,0.108068,2500,"(3, 1)","(3, 1)",2
8,9,22,Random,Solved,1,91,0.010053,2500,"(3, 1)","(3, 1)",2
9,9,22,No_reverse,Solved,1,18,0.002149,2500,"(3, 1)","(3, 1)",2
10,9,22,Breadth-first,Solved,1,1,0.000804,2500,"(3, 1)","(3, 1)",2
11,9,22,Depth-first,Solved,1,21,0.002401,2500,"(3, 1)","(3, 1)",2
12,9,23,Random,Solved,1,888,0.097590,2500,"(3, 1)","(3, 1)",2
13,9,23,No_reverse,Solved,1,752,0.077385,2500,"(3, 1)","(3, 1)",2
14,9,23,Breadth-first,Unsolved,1,2500,1.263718,2500,"(3, 1)","(3, 1)",2
15,9,23,Depth-first,Unsolved,1,2500,0.249955,2500,"(3, 1)","(3, 1)",2
16,9,24,Random,Solved,1,2,0.000248,2500,"(3, 1)","(3, 1)",2
17,9,24,No_reverse,Solved,1,11,0.001043,2500,"(3, 1)","(3, 1)",2
18,9,24,Breadth-first,Solved,1,1,0.000870,2500,"(3, 1)","(3, 1)",2
19,9,24,Depth-first,Solved,1,22,0.002166,2500,"(3, 1)","(3, 1)",2
20,9,25,Random,Solved,1,1301,0.133547,2500,"(3, 1)","(3, 1)",2
21,9,25,No_reverse,Solved,1,720,0.076650,2500,"(3, 1)","(3, 1)",2
22,9,25,Breadth-first,Solved,1,398,0.206486,2500,"(3, 1)","(3, 1)",2
23,9,25,Depth-first,Solved,1,472,0.048992,2500,"(3, 1)","(3, 1)",2
24,9,26,Random,Solved,1,169,0.015496,2500,"(3, 1)","(3, 1)",2
25,9,26,No_reverse,Solved,1,63,0.005962,2500,"(3, 1)","(3, 1)",2
26,9,26,Breadth-first,Solved,1,2025,1.082598,2500,"(3, 1)","(3, 1)",2
27,9,26,Depth-first,Solved,1,64,0.006136,2500,"(3, 1)","(3, 1)",2
28,9,27,Random,Solved,1,2134,0.231639,2500,"(3, 1)","(3, 1)",2
29,9,27,No_reverse,Solved,1,243,0.027260,2500,"(3, 1)","(3, 1)",2
30,9,27,Breadth-first,Unsolved,1,2500,1.516680,2500,"(3, 1)","(3, 1)",2
31,9,27,Depth-first,Solved,1,1523,0.171663,2500,"(3, 1)","(3, 1)",2
32,9,28,Random,Unsolved,1,2500,0.237199,2500,"(3, 1)","(3, 1)",2
33,9,28,No_reverse,Unsolved,1,2500,0.244509,2500,"(3, 1)","(3, 1)",2
34,9,28,Breadth-first,Unsolved,1,2500,1.495309,2500,"(3, 1)","(3, 1)",2
35,9,28,Depth-first,Unsolved,1,2500,0.246493,2500,"(3, 1)","(3, 1)",2
36,9,29,Random,Unsolved,1,2500,0.248774,2500,"(3, 1)","(3, 1)",2
37,9,29,No_reverse,Unsolved,1,2500,0.243119,2500,"(3, 1)","(3, 1)",2
38,9,29,Breadth-first,Unsolved,1,2500,1.743739,2500,"(3, 1)","(3, 1)",2
39,9,29,Depth-first,Unsolved,1,2500,0.260215,2500,"(3, 1)","(3, 1)",2
40,9,20,Random,Solved,1,167,0.015985,2500,"(3, 1)","(3, 1)",2
41,9,20,No_reverse,Solved,1,350,0.042921,2500,"(3, 1)","(3, 1)",2
42,9,20,Breadth-first,Solved,1,1447,0.822985,2500,"(3, 1)","(3, 1)",2
43,9,20,Depth-first,Solved,1,224,0.020629,2500,"(3, 1)","(3, 1)",2
44,9,21,Random,Solved,1,636,0.065528,2500,"(3, 1)","(3, 1)",2
45,9,21,No_reverse,Solved,1,1455,0.144630,2500,"(3, 1)","(3, 1)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.193192,2500,"(3, 1)","(3, 1)",2
47,9,21,Depth-first,Solved,1,85,0.008890,2500,"(3, 1)","(3, 1)",2
48,9,22,Random,Solved,1,431,0.044443,2500,"(3, 1)","(3, 1)",2
49,9,22,No_reverse,Solved,1,320,0.032922,2500,"(3, 1)","(3, 1)",2
50,9,22,Breadth-first,Solved,1,1611,1.215334,2500,"(3, 1)","(3, 1)",2
51,9,22,Depth-first,Solved,1,125,0.016244,2500,"(3, 1)","(3, 1)",2
52,9,23,Random,Unsolved,1,2500,0.286834,2500,"(3, 1)","(3, 1)",2
53,9,23,No_reverse,Unsolved,1,2500,0.278329,2500,"(3, 1)","(3, 1)",2
54,9,23,Breadth-first,Unsolved,1,2500,1.542903,2500,"(3, 1)","(3, 1)",2
55,9,23,Depth-first,Solved,1,264,0.033556,2500,"(3, 1)","(3, 1)",2
56,9,24,Random,Unsolved,1,2500,0.277250,2500,"(3, 1)","(3, 1)",2
57,9,24,No_reverse,Solved,1,139,0.013746,2500,"(3, 1)","(3, 1)",2
