,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,6,Random,Solved,1,112,0.007828,2500,"(3, 1)","(1, 1)",2
1,6,6,No_reverse,Solved,1,6,0.000231,2500,"(3, 1)","(1, 1)",2
2,6,6,Breadth-first,Solved,1,416,0.194240,2500,"(3, 1)","(1, 1)",2
3,6,6,Depth-first,Solved,1,60,0.002050,2500,"(3, 1)","(1, 1)",2
4,6,7,Random,Solved,1,44,0.013513,2500,"(3, 1)","(1, 1)",2
5,6,7,No_reverse,Solved,1,59,0.005294,2500,"(3, 1)","(1, 1)",2
6,6,7,Breadth-first,Solved,1,153,0.028994,2500,"(3, 1)","(1, 1)",2
7,6,7,Depth-first,Solved,1,22,0.000671,2500,"(3, 1)","(1, 1)",2
8,6,8,Random,Solved,1,2,0.000093,2500,"(3, 1)","(1, 1)",2
9,6,8,No_reverse,Solved,1,17,0.000642,2500,"(3, 1)","(1, 1)",2
10,6,8,Breadth-first,Solved,1,1,0.000392,2500,"(3, 1)","(1, 1)",2
11,6,8,Depth-first,Solved,1,279,0.010062,2500,"(3, 1)","(1, 1)",2
12,6,9,Random,Solved,1,6,0.000192,2500,"(3, 1)","(1, 1)",2
13,6,9,No_reverse,Solved,1,2,0.000071,2500,"(3, 1)","(1, 1)",2
14,6,9,Breadth-first,Solved,1,1,0.000392,2500,"(3, 1)","(1, 1)",2
15,6,9,Depth-first,Solved,1,8,0.000253,2500,"(3, 1)","(1, 1)",2
16,6,10,Random,Solved,1,3,0.000131,2500,"(3, 1)","(1, 1)",2
17,6,10,No_reverse,Solved,1,9,0.000345,2500,"(3, 1)","(1, 1)",2
18,6,10,Breadth-first,Solved,1,1,0.000426,2500,"(3, 1)","(1, 1)",2
19,6,10,Depth-first,Solved,1,9,0.000360,2500,"(3, 1)","(1, 1)",2
20,6,11,Random,Solved,1,26,0.001033,2500,"(3, 1)","(1, 1)",2
21,6,11,No_reverse,Solved,1,458,0.016966,2500,"(3, 1)","(1, 1)",2
22,6,11,Breadth-first,Solved,1,86,0.063792,2500,"(3, 1)","(1, 1)",2
23,6,11,Depth-first,Solved,1,272,0.010696,2500,"(3, 1)","(1, 1)",2
24,6,12,Random,Solved,1,308,0.014133,2500,"(3, 1)","(1, 1)",2
25,6,12,No_reverse,Solved,1,1520,0.134979,2500,"(3, 1)","(1, 1)",2
26,6,12,Breadth-first,Unsolved,1,2500,1.295704,2500,"(3, 1)","(1, 1)",2
27,6,12,Depth-first,Solved,1,560,0.043225,2500,"(3, 1)","(1, 1)",2
28,6,13,Random,Solved,1,20,0.000787,2500,"(3, 1)","(1, 1)",2
29,6,13,No_reverse,Solved,1,14,0.000528,2500,"(3, 1)","(1, 1)",2
30,6,13,Breadth-first,Solved,1,32,0.036098,2500,"(3, 1)","(1, 1)",2
31,6,13,Depth-first,Solved,1,9,0.000384,2500,"(3, 1)","(1, 1)",2
32,6,14,Random,Solved,1,322,0.014193,2500,"(3, 1)","(1, 1)",2
33,6,14,No_reverse,Solved,1,239,0.010355,2500,"(3, 1)","(1, 1)",2
34,6,14,Breadth-first,Unsolved,1,2500,1.537564,2500,"(3, 1)","(1, 1)",2
35,6,14,Depth-first,Solved,1,224,0.009740,2500,"(3, 1)","(1, 1)",2
36,6,15,Random,Solved,1,263,0.010498,2500,"(3, 1)","(1, 1)",2
37,6,15,No_reverse,Solved,1,97,0.003890,2500,"(3, 1)","(1, 1)",2
38,6,15,Breadth-first,Solved,1,1798,1.044363,2500,"(3, 1)","(1, 1)",2
39,6,15,Depth-first,Solved,1,32,0.001373,2500,"(3, 1)","(1, 1)",2
40,6,6,Random,Solved,1,6,0.000196,2500,"(3, 1)","(1, 1)",2
41,6,6,No_reverse,Solved,1,8,0.000242,2500,"(3, 1)","(1, 1)",2
42,6,6,Breadth-first,Solved,1,1,0.000352,2500,"(3, 1)","(1, 1)",2
43,6,6,Depth-first,Solved,1,4,0.000130,2500,"(3, 1)","(1, 1)",2
44,6,7,Random,Solved,1,158,0.004526,2500,"(3, 1)","(1, 1)",2
45,6,7,No_reverse,Solved,1,49,0.001364,2500,"(3, 1)","(1, 1)",2
46,6,7,Breadth-first,Solved,1,1,0.000354,2500,"(3, 1)","(1, 1)",2
47,6,7,Depth-first,Solved,1,227,0.028634,2500,"(3, 1)","(1, 1)",2
48,6,8,Random,Solved,1,79,0.002642,2500,"(3, 1)","(1, 1)",2
49,6,8,No_reverse,Solved,1,78,0.002502,2500,"(3, 1)","(1, 1)",2
50,6,8,Breadth-first,Unsolved,1,2500,1.053849,2500,"(3, 1)","(1, 1)",2
51,6,8,Depth-first,Solved,1,249,0.008497,2500,"(3, 1)","(1, 1)",2
52,6,9,Random,Solved,1,64,0.007813,2500,"(3, 1)","(1, 1)",2
53,6,9,No_reverse,Solved,1,101,0.003667,2500,"(3, 1)","(1, 1)",2
54,6,9,Breadth-first,Solved,1,177,0.037850,2500,"(3, 1)","(1, 1)",2
55,6,9,Depth-first,Solved,1,120,0.004655,2500,"(3, 1)","(1, 1)",2
56,6,10,Random,Solved,1,85,0.003094,2500,"(3, 1)","(1, 1)",2
57,6,10,No_reverse,Solved,1,481,0.041633,2500,"(3, 1)","(1, 1)",2
58,6,10,Breadth-first,Solved,1,172,0.060343,2500,"(3, 1)","(1, 1)",2
59,6,10,Depth-first,Solved,1,91,0.003382,2500,"(3, 1)","(1, 1)",2
60,6,11,Random,Solved,1,4,0.000169,2500,"(3, 1)","(1, 1)",2
61,6,11,No_reverse,Solved,1,48,0.006574,2500,"(3, 1)","(1, 1)",2
62,6,11,Breadth-first,Solved,1,80,0.021103,2500,"(3, 1)","(1, 1)",2
63,6,11,Depth-first,Solved,1,38,0.001520,2500,"(3, 1)","(1, 1)",2
64,6,12,Random,Solved,1,836,0.066502,2500,"(3, 1)","(1, 1)",2
