,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,143,0.018792,2500,"(3, 1)","(10, 1)",2
1,9,20,No_reverse,Solved,1,43,0.004290,2500,"(3, 1)","(10, 1)",2
2,9,20,Breadth-first,Solved,1,1,0.000880,2500,"(3, 1)","(10, 1)",2
3,9,20,Depth-first,Solved,1,11,0.001094,2500,"(3, 1)","(10, 1)",2
4,9,21,Random,Solved,1,203,0.022341,2500,"(3, 1)","(10, 1)",2
5,9,21,No_reverse,Solved,1,169,0.015084,2500,"(3, 1)","(10, 1)",2
6,9,21,Breadth-first,Solved,1,611,0.318430,2500,"(3, 1)","(10, 1)",2
7,9,21,Depth-first,Solved,1,25,0.002337,2500,"(3, 1)","(10, 1)",2
8,9,22,Random,Solved,1,94,0.026431,2500,"(3, 1)","(10, 1)",2
9,9,22,No_reverse,Solved,1,134,0.023210,2500,"(3, 1)","(10, 1)",2
10,9,22,Breadth-first,Unsolved,1,2500,1.917786,2500,"(3, 1)","(10, 1)",2
11,9,22,Depth-first,Solved,1,62,0.008075,2500,"(3, 1)","(10, 1)",2
12,9,23,Random,Solved,1,135,0.014295,2500,"(3, 1)","(10, 1)",2
13,9,23,No_reverse,Solved,1,35,0.003632,2500,"(3, 1)","(10, 1)",2
14,9,23,Breadth-first,Solved,1,1,0.000819,2500,"(3, 1)","(10, 1)",2
15,9,23,Depth-first,Solved,1,194,0.064911,2500,"(3, 1)","(10, 1)",2
16,9,24,Random,Solved,1,69,0.009601,2500,"(3, 1)","(10, 1)",2
17,9,24,No_reverse,Solved,1,44,0.009668,2500,"(3, 1)","(10, 1)",2
18,9,24,Breadth-first,Solved,1,1,0.003163,2500,"(3, 1)","(10, 1)",2
19,9,24,Depth-first,Solved,1,16,0.004704,2500,"(3, 1)","(10, 1)",2
20,9,25,Random,Solved,1,6,0.000590,2500,"(3, 1)","(10, 1)",2
21,9,25,No_reverse,Solved,1,34,0.003050,2500,"(3, 1)","(10, 1)",2
22,9,25,Breadth-first,Solved,1,1,0.000866,2500,"(3, 1)","(10, 1)",2
23,9,25,Depth-first,Solved,1,53,0.004979,2500,"(3, 1)","(10, 1)",2
24,9,26,Random,Solved,1,1053,0.143440,2500,"(3, 1)","(10, 1)",2
25,9,26,No_reverse,Solved,1,481,0.104769,2500,"(3, 1)","(10, 1)",2
26,9,26,Breadth-first,Unsolved,1,2500,2.135085,2500,"(3, 1)","(10, 1)",2
27,9,26,Depth-first,Solved,1,922,0.116321,2500,"(3, 1)","(10, 1)",2
28,9,27,Random,Solved,1,457,0.067185,2500,"(3, 1)","(10, 1)",2
29,9,27,No_reverse,Solved,1,746,0.098753,2500,"(3, 1)","(10, 1)",2
30,9,27,Breadth-first,Unsolved,1,2500,2.023575,2500,"(3, 1)","(10, 1)",2
31,9,27,Depth-first,Unsolved,1,2500,0.347579,2500,"(3, 1)","(10, 1)",2
32,9,28,Random,Solved,1,930,0.116880,2500,"(3, 1)","(10, 1)",2
33,9,28,No_reverse,Solved,1,741,0.098895,2500,"(3, 1)","(10, 1)",2
34,9,28,Breadth-first,Unsolved,1,2500,2.014104,2500,"(3, 1)","(10, 1)",2
35,9,28,Depth-first,Solved,1,919,0.206304,2500,"(3, 1)","(10, 1)",2
36,9,29,Random,Solved,1,820,0.141448,2500,"(3, 1)","(10, 1)",2
37,9,29,No_reverse,Solved,1,453,0.219334,2500,"(3, 1)","(10, 1)",2
38,9,29,Breadth-first,Unsolved,1,2500,2.161615,2500,"(3, 1)","(10, 1)",2
39,9,29,Depth-first,Solved,1,403,0.053562,2500,"(3, 1)","(10, 1)",2
40,9,20,Random,Solved,1,154,0.028807,2500,"(3, 1)","(10, 1)",2
41,9,20,No_reverse,Solved,1,138,0.013249,2500,"(3, 1)","(10, 1)",2
42,9,20,Breadth-first,Solved,1,2035,1.319247,2500,"(3, 1)","(10, 1)",2
43,9,20,Depth-first,Solved,1,61,0.005784,2500,"(3, 1)","(10, 1)",2
44,9,21,Random,Solved,1,52,0.004352,2500,"(3, 1)","(10, 1)",2
45,9,21,No_reverse,Solved,1,686,0.065662,2500,"(3, 1)","(10, 1)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.762381,2500,"(3, 1)","(10, 1)",2
47,9,21,Depth-first,Solved,1,202,0.017488,2500,"(3, 1)","(10, 1)",2
48,9,22,Random,Solved,1,14,0.001529,2500,"(3, 1)","(10, 1)",2
49,9,22,No_reverse,Solved,1,44,0.004819,2500,"(3, 1)","(10, 1)",2
50,9,22,Breadth-first,Solved,1,1,0.000942,2500,"(3, 1)","(10, 1)",2
51,9,22,Depth-first,Solved,1,106,0.031010,2500,"(3, 1)","(10, 1)",2
52,9,23,Random,Unsolved,1,2500,0.301528,2500,"(3, 1)","(10, 1)",2
53,9,23,No_reverse,Solved,1,1236,0.151705,2500,"(3, 1)","(10, 1)",2
54,9,23,Breadth-first,Unsolved,1,2500,1.783328,2500,"(3, 1)","(10, 1)",2
55,9,23,Depth-first,Solved,1,1741,0.215390,2500,"(3, 1)","(10, 1)",2
56,9,24,Random,Solved,1,669,0.135817,2500,"(3, 1)","(10, 1)",2
57,9,24,No_reverse,Solved,1,491,0.064654,2500,"(3, 1)","(10, 1)",2
58,9,24,Breadth-first,Unsolved,1,2500,1.818853,2500,"(3, 1)","(10, 1)",2
59,9,24,Depth-first,Solved,1,45,0.011452,2500,"(3, 1)","(10, 1)",2
60,9,25,Random,Solved,1,2,0.000203,2500,"(3, 1)","(10, 1)",2
61,9,25,No_reverse,Solved,1,158,0.016807,2500,"(3, 1)","(10, 1)",2
62,9,25,Breadth-first,Solved,1,1,0.000868,2500,"(3, 1)","(10, 1)",2
63,9,25,Depth-first,Solved,1,193,0.028560,2500,"(3, 1)","(10, 1)",2
64,9,26,Random,Solved,1,19,0.002070,2500,"(3, 1)","(10, 1)",2
65,9,26,No_reverse,Solved,1,33,0.003392,2500,"(3, 1)","(10, 1)",2
66,9,26,Breadth-first,Solved,1,1,0.000854,2500,"(3, 1)","(10, 1)",2
67,9,26,Depth-first,Solved,1,9,0.001003,2500,"(3, 1)","(10, 1)",2
68,9,27,Random,Solved,1,15,0.004524,2500,"(3, 1)","(10, 1)",2
69,9,27,No_reverse,Solved,1,31,0.007343,2500,"(3, 1)","(10, 1)",2
70,9,27,Breadth-first,Solved,1,1,0.000897,2500,"(3, 1)","(10, 1)",2
71,9,27,Depth-first,Solved,1,11,0.001265,2500,"(3, 1)","(10, 1)",2
72,9,28,Random,Solved,1,935,0.129528,2500,"(3, 1)","(10, 1)",2
73,9,28,No_reverse,Solved,1,1163,0.162210,2500,"(3, 1)","(10, 1)",2
74,9,28,Breadth-first,Unsolved,1,2500,1.923560,2500,"(3, 1)","(10, 1)",2
75,9,28,Depth-first,Unsolved,1,2500,0.360570,2500,"(3, 1)","(10, 1)",2
76,9,29,Random,Solved,1,1493,0.187779,2500,"(3, 1)","(10, 1)",2
77,9,29,No_reverse,Solved,1,240,0.021899,2500,"(3, 1)","(10, 1)",2
78,9,29,Breadth-first,Unsolved,1,2500,2.462190,2500,"(3, 1)","(10, 1)",2
79,9,29,Depth-first,Unsolved,1,2500,0.342742,2500,"(3, 1)","(10, 1)",2
80,9,20,Random,Solved,1,36,0.003157,2500,"(3, 1)","(10, 1)",2
81,9,20,No_reverse,Solved,1,10,0.000888,2500,"(3, 1)","(10, 1)",2
82,9,20,Breadth-first,Solved,1,1,0.000823,2500,"(3, 1)","(10, 1)",2
83,9,20,Depth-first,Solved,1,36,0.003231,2500,"(3, 1)","(10, 1)",2
84,9,21,Random,Solved,1,150,0.014820,2500,"(3, 1)","(10, 1)",2
85,9,21,No_reverse,Solved,1,263,0.026386,2500,"(3, 1)","(10, 1)",2
86,9,21,Breadth-first,Solved,1,1,0.000790,2500,"(3, 1)","(10, 1)",2
87,9,21,Depth-first,Solved,1,55,0.005720,2500,"(3, 1)","(10, 1)",2
88,9,22,Random,Solved,1,403,0.118258,2500,"(3, 1)","(10, 1)",2
89,9,22,No_reverse,Solved,1,165,0.016577,2500,"(3, 1)","(10, 1)",2
90,9,22,Breadth-first,Solved,1,1,0.000787,2500,"(3, 1)","(10, 1)",2
91,9,22,Depth-first,Solved,1,117,0.011924,2500,"(3, 1)","(10, 1)",2
92,9,23,Random,Solved,1,11,0.001028,2500,"(3, 1)","(10, 1)",2
93,9,23,No_reverse,Solved,1,36,0.003333,2500,"(3, 1)","(10, 1)",2
94,9,23,Breadth-first,Solved,1,1,0.000767,2500,"(3, 1)","(10, 1)",2
95,9,23,Depth-first,Solved,1,30,0.002916,2500,"(3, 1)","(10, 1)",2
96,9,24,Random,Solved,1,60,0.005751,2500,"(3, 1)","(10, 1)",2
97,9,24,No_reverse,Solved,1,15,0.001439,2500,"(3, 1)","(10, 1)",2
98,9,24,Breadth-first,Solved,1,1,0.000784,2500,"(3, 1)","(10, 1)",2
99,9,24,Depth-first,Solved,1,7,0.000690,2500,"(3, 1)","(10, 1)",2
100,9,25,Random,Solved,1,36,0.003612,2500,"(3, 1)","(10, 1)",2
101,9,25,No_reverse,Solved,1,83,0.008598,2500,"(3, 1)","(10, 1)",2
102,9,25,Breadth-first,Solved,1,1,0.000822,2500,"(3, 1)","(10, 1)",2
103,9,25,Depth-first,Solved,1,76,0.007922,2500,"(3, 1)","(10, 1)",2
104,9,26,Random,Unsolved,1,2500,0.402725,2500,"(3, 1)","(10, 1)",2
105,9,26,No_reverse,Unsolved,1,2500,0.364584,2500,"(3, 1)","(10, 1)",2
106,9,26,Breadth-first,Unsolved,1,2500,2.256574,2500,"(3, 1)","(10, 1)",2
107,9,26,Depth-first,Solved,1,1294,0.199521,2500,"(3, 1)","(10, 1)",2
108,9,27,Random,Solved,1,96,0.009923,2500,"(3, 1)","(10, 1)",2
109,9,27,No_reverse,Solved,1,33,0.011950,2500,"(3, 1)","(10, 1)",2
110,9,27,Breadth-first,Solved,1,1,0.000905,2500,"(3, 1)","(10, 1)",2
111,9,27,Depth-first,Solved,1,131,0.013974,2500,"(3, 1)","(10, 1)",2
112,9,28,Random,Solved,1,148,0.014709,2500,"(3, 1)","(10, 1)",2
113,9,28,No_reverse,Solved,1,72,0.007167,2500,"(3, 1)","(10, 1)",2
114,9,28,Breadth-first,Unsolved,1,2500,2.453933,2500,"(3, 1)","(10, 1)",2
115,9,28,Depth-first,Solved,1,279,0.056823,2500,"(3, 1)","(10, 1)",2
116,9,29,Random,Solved,1,13,0.002927,2500,"(3, 1)","(10, 1)",2
117,9,29,No_reverse,Solved,1,17,0.001753,2500,"(3, 1)","(10, 1)",2
118,9,29,Breadth-first,Solved,1,1,0.000933,2500,"(3, 1)","(10, 1)",2
119,9,29,Depth-first,Solved,1,82,0.009248,2500,"(3, 1)","(10, 1)",2
120,9,20,Random,Solved,1,121,0.012115,2500,"(3, 1)","(10, 1)",2
121,9,20,No_reverse,Solved,1,33,0.003359,2500,"(3, 1)","(10, 1)",2
122,9,20,Breadth-first,Solved,1,1,0.000746,2500,"(3, 1)","(10, 1)",2
123,9,20,Depth-first,Solved,1,12,0.001174,2500,"(3, 1)","(10, 1)",2
124,9,21,Random,Solved,1,1146,0.177883,2500,"(3, 1)","(10, 1)",2
125,9,21,No_reverse,Solved,1,1513,0.285740,2500,"(3, 1)","(10, 1)",2
126,9,21,Breadth-first,Unsolved,1,2500,2.054853,2500,"(3, 1)","(10, 1)",2
127,9,21,Depth-first,Solved,1,2177,0.434247,2500,"(3, 1)","(10, 1)",2
128,9,22,Random,Solved,1,376,0.071405,2500,"(3, 1)","(10, 1)",2
129,9,22,No_reverse,Solved,1,192,0.016810,2500,"(3, 1)","(10, 1)",2
130,9,22,Breadth-first,Solved,1,1,0.000796,2500,"(3, 1)","(10, 1)",2
131,9,22,Depth-first,Solved,1,247,0.035472,2500,"(3, 1)","(10, 1)",2
132,9,23,Random,Solved,1,61,0.017407,2500,"(3, 1)","(10, 1)",2
133,9,23,No_reverse,Solved,1,79,0.019545,2500,"(3, 1)","(10, 1)",2
134,9,23,Breadth-first,Solved,1,1,0.001054,2500,"(3, 1)","(10, 1)",2
135,9,23,Depth-first,Solved,1,65,0.015646,2500,"(3, 1)","(10, 1)",2
136,9,24,Random,Solved,1,114,0.029912,2500,"(3, 1)","(10, 1)",2
137,9,24,No_reverse,Solved,1,254,0.078700,2500,"(3, 1)","(10, 1)",2
138,9,24,Breadth-first,Unsolved,1,2500,2.184105,2500,"(3, 1)","(10, 1)",2
139,9,24,Depth-first,Solved,1,183,0.043028,2500,"(3, 1)","(10, 1)",2
140,9,25,Random,Solved,1,1228,0.208276,2500,"(3, 1)","(10, 1)",2
141,9,25,No_reverse,Unsolved,1,2500,0.445111,2500,"(3, 1)","(10, 1)",2
142,9,25,Breadth-first,Unsolved,1,2500,2.309470,2500,"(3, 1)","(10, 1)",2
143,9,25,Depth-first,Unsolved,1,2500,0.420730,2500,"(3, 1)","(10, 1)",2
144,9,26,Random,Solved,1,21,0.002289,2500,"(3, 1)","(10, 1)",2
145,9,26,No_reverse,Solved,1,53,0.008177,2500,"(3, 1)","(10, 1)",2
146,9,26,Breadth-first,Solved,1,1,0.002798,2500,"(3, 1)","(10, 1)",2
147,9,26,Depth-first,Solved,1,180,0.041617,2500,"(3, 1)","(10, 1)",2
148,9,27,Random,Solved,1,43,0.015805,2500,"(3, 1)","(10, 1)",2
149,9,27,No_reverse,Solved,1,60,0.010486,2500,"(3, 1)","(10, 1)",2
150,9,27,Breadth-first,Solved,1,1,0.000892,2500,"(3, 1)","(10, 1)",2
151,9,27,Depth-first,Solved,1,786,0.140052,2500,"(3, 1)","(10, 1)",2
152,9,28,Random,Solved,1,60,0.006233,2500,"(3, 1)","(10, 1)",2
153,9,28,No_reverse,Solved,1,21,0.015853,2500,"(3, 1)","(10, 1)",2
154,9,28,Breadth-first,Solved,1,1,0.000925,2500,"(3, 1)","(10, 1)",2
155,9,28,Depth-first,Solved,1,59,0.008908,2500,"(3, 1)","(10, 1)",2
156,9,29,Random,Solved,1,22,0.002166,2500,"(3, 1)","(10, 1)",2
157,9,29,No_reverse,Solved,1,14,0.001409,2500,"(3, 1)","(10, 1)",2
158,9,29,Breadth-first,Solved,1,1,0.000941,2500,"(3, 1)","(10, 1)",2
159,9,29,Depth-first,Solved,1,109,0.015969,2500,"(3, 1)","(10, 1)",2
160,9,20,Random,Solved,1,351,0.045049,2500,"(3, 1)","(10, 1)",2
161,9,20,No_reverse,Solved,1,160,0.016726,2500,"(3, 1)","(10, 1)",2
162,9,20,Breadth-first,Solved,1,1,0.000753,2500,"(3, 1)","(10, 1)",2
