,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,52,0.005608,2500,"(3, 1)","(1, 1)",2
1,9,20,No_reverse,Solved,1,3,0.000320,2500,"(3, 1)","(1, 1)",2
2,9,20,Breadth-first,Solved,1,1,0.000818,2500,"(3, 1)","(1, 1)",2
3,9,20,Depth-first,Solved,1,101,0.011817,2500,"(3, 1)","(1, 1)",2
4,9,21,Random,Solved,1,165,0.018728,2500,"(3, 1)","(1, 1)",2
5,9,21,No_reverse,Solved,1,42,0.004694,2500,"(3, 1)","(1, 1)",2
6,9,21,Breadth-first,Solved,1,1,0.000854,2500,"(3, 1)","(1, 1)",2
7,9,21,Depth-first,Solved,1,254,0.027701,2500,"(3, 1)","(1, 1)",2
8,9,22,Random,Solved,1,281,0.033594,2500,"(3, 1)","(1, 1)",2
9,9,22,No_reverse,Solved,1,440,0.041965,2500,"(3, 1)","(1, 1)",2
10,9,22,Breadth-first,Solved,1,1,0.000874,2500,"(3, 1)","(1, 1)",2
11,9,22,Depth-first,Solved,1,61,0.005966,2500,"(3, 1)","(1, 1)",2
12,9,23,Random,Unsolved,1,2500,0.238876,2500,"(3, 1)","(1, 1)",2
13,9,23,No_reverse,Solved,1,38,0.003997,2500,"(3, 1)","(1, 1)",2
14,9,23,Breadth-first,Solved,1,1465,0.771042,2500,"(3, 1)","(1, 1)",2
15,9,23,Depth-first,Solved,1,29,0.002970,2500,"(3, 1)","(1, 1)",2
16,9,24,Random,Unsolved,1,2500,0.243807,2500,"(3, 1)","(1, 1)",2
17,9,24,No_reverse,Unsolved,1,2500,0.248798,2500,"(3, 1)","(1, 1)",2
18,9,24,Breadth-first,Unsolved,1,2500,1.676477,2500,"(3, 1)","(1, 1)",2
19,9,24,Depth-first,Solved,1,2229,0.220726,2500,"(3, 1)","(1, 1)",2
20,9,25,Random,Solved,1,2168,0.248469,2500,"(3, 1)","(1, 1)",2
21,9,25,No_reverse,Solved,1,2356,0.266737,2500,"(3, 1)","(1, 1)",2
22,9,25,Breadth-first,Unsolved,1,2500,1.359085,2500,"(3, 1)","(1, 1)",2
23,9,25,Depth-first,Solved,1,1927,0.196454,2500,"(3, 1)","(1, 1)",2
24,9,26,Random,Solved,1,1674,0.178653,2500,"(3, 1)","(1, 1)",2
25,9,26,No_reverse,Solved,1,985,0.105236,2500,"(3, 1)","(1, 1)",2
26,9,26,Breadth-first,Unsolved,1,2500,1.371620,2500,"(3, 1)","(1, 1)",2
27,9,26,Depth-first,Solved,1,1817,0.220277,2500,"(3, 1)","(1, 1)",2
28,9,27,Random,Unsolved,1,2500,0.243944,2500,"(3, 1)","(1, 1)",2
29,9,27,No_reverse,Unsolved,1,2500,0.227171,2500,"(3, 1)","(1, 1)",2
30,9,27,Breadth-first,Unsolved,1,2500,1.405597,2500,"(3, 1)","(1, 1)",2
31,9,27,Depth-first,Unsolved,1,2500,0.246178,2500,"(3, 1)","(1, 1)",2
32,9,28,Random,Unsolved,1,2500,0.304610,2500,"(3, 1)","(1, 1)",2
33,9,28,No_reverse,Solved,1,760,0.079597,2500,"(3, 1)","(1, 1)",2
34,9,28,Breadth-first,Unsolved,1,2500,1.519080,2500,"(3, 1)","(1, 1)",2
35,9,28,Depth-first,Unsolved,1,2500,0.266246,2500,"(3, 1)","(1, 1)",2
36,9,29,Random,Solved,1,1005,0.098621,2500,"(3, 1)","(1, 1)",2
37,9,29,No_reverse,Solved,1,939,0.089314,2500,"(3, 1)","(1, 1)",2
38,9,29,Breadth-first,Unsolved,1,2500,1.398059,2500,"(3, 1)","(1, 1)",2
39,9,29,Depth-first,Unsolved,1,2500,0.243362,2500,"(3, 1)","(1, 1)",2
40,9,20,Random,Solved,1,283,0.027860,2500,"(3, 1)","(1, 1)",2
41,9,20,No_reverse,Solved,1,1170,0.113502,2500,"(3, 1)","(1, 1)",2
42,9,20,Breadth-first,Unsolved,1,2500,1.177104,2500,"(3, 1)","(1, 1)",2
43,9,20,Depth-first,Solved,1,548,0.052786,2500,"(3, 1)","(1, 1)",2
44,9,21,Random,Solved,1,667,0.057989,2500,"(3, 1)","(1, 1)",2
45,9,21,No_reverse,Solved,1,1051,0.092148,2500,"(3, 1)","(1, 1)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.239775,2500,"(3, 1)","(1, 1)",2
47,9,21,Depth-first,Solved,1,609,0.053074,2500,"(3, 1)","(1, 1)",2
48,9,22,Random,Solved,1,300,0.027133,2500,"(3, 1)","(1, 1)",2
49,9,22,No_reverse,Solved,1,253,0.022388,2500,"(3, 1)","(1, 1)",2
50,9,22,Breadth-first,Unsolved,1,2500,1.193155,2500,"(3, 1)","(1, 1)",2
51,9,22,Depth-first,Solved,1,1808,0.157669,2500,"(3, 1)","(1, 1)",2
52,9,23,Random,Solved,1,2440,0.229834,2500,"(3, 1)","(1, 1)",2
53,9,23,No_reverse,Solved,1,1484,0.144627,2500,"(3, 1)","(1, 1)",2
54,9,23,Breadth-first,Unsolved,1,2500,1.242525,2500,"(3, 1)","(1, 1)",2
55,9,23,Depth-first,Unsolved,1,2500,0.247849,2500,"(3, 1)","(1, 1)",2
56,9,24,Random,Solved,1,125,0.012159,2500,"(3, 1)","(1, 1)",2
57,9,24,No_reverse,Solved,1,199,0.019220,2500,"(3, 1)","(1, 1)",2
58,9,24,Breadth-first,Solved,1,167,0.091581,2500,"(3, 1)","(1, 1)",2
59,9,24,Depth-first,Solved,1,6,0.000643,2500,"(3, 1)","(1, 1)",2
60,9,25,Random,Solved,1,2028,0.209821,2500,"(3, 1)","(1, 1)",2
61,9,25,No_reverse,Unsolved,1,2500,0.265226,2500,"(3, 1)","(1, 1)",2
62,9,25,Breadth-first,Unsolved,1,2500,1.417700,2500,"(3, 1)","(1, 1)",2
63,9,25,Depth-first,Unsolved,1,2500,0.277274,2500,"(3, 1)","(1, 1)",2
64,9,26,Random,Unsolved,1,2500,0.217689,2500,"(3, 1)","(1, 1)",2
65,9,26,No_reverse,Unsolved,1,2500,0.236083,2500,"(3, 1)","(1, 1)",2
66,9,26,Breadth-first,Unsolved,1,2500,1.390563,2500,"(3, 1)","(1, 1)",2
67,9,26,Depth-first,Unsolved,1,2500,0.222328,2500,"(3, 1)","(1, 1)",2
68,9,27,Random,Solved,1,671,0.069124,2500,"(3, 1)","(1, 1)",2
69,9,27,No_reverse,Solved,1,54,0.005619,2500,"(3, 1)","(1, 1)",2
70,9,27,Breadth-first,Unsolved,1,2500,1.530496,2500,"(3, 1)","(1, 1)",2
71,9,27,Depth-first,Solved,1,2069,0.220784,2500,"(3, 1)","(1, 1)",2
72,9,28,Random,Solved,1,2099,0.214930,2500,"(3, 1)","(1, 1)",2
73,9,28,No_reverse,Unsolved,1,2500,0.241254,2500,"(3, 1)","(1, 1)",2
74,9,28,Breadth-first,Unsolved,1,2500,1.456694,2500,"(3, 1)","(1, 1)",2
75,9,28,Depth-first,Unsolved,1,2500,0.236778,2500,"(3, 1)","(1, 1)",2
76,9,29,Random,Unsolved,1,2500,0.257212,2500,"(3, 1)","(1, 1)",2
77,9,29,No_reverse,Solved,1,1216,0.124690,2500,"(3, 1)","(1, 1)",2
78,9,29,Breadth-first,Unsolved,1,2500,1.470382,2500,"(3, 1)","(1, 1)",2
79,9,29,Depth-first,Unsolved,1,2500,0.255668,2500,"(3, 1)","(1, 1)",2
80,9,20,Random,Unsolved,1,2500,0.195518,2500,"(3, 1)","(1, 1)",2
81,9,20,No_reverse,Solved,1,2394,0.186726,2500,"(3, 1)","(1, 1)",2
82,9,20,Breadth-first,Unsolved,1,2500,1.311021,2500,"(3, 1)","(1, 1)",2
83,9,20,Depth-first,Unsolved,1,2500,0.373556,2500,"(3, 1)","(1, 1)",2
84,9,21,Random,Solved,1,511,0.080259,2500,"(3, 1)","(1, 1)",2
85,9,21,No_reverse,Solved,1,150,0.013266,2500,"(3, 1)","(1, 1)",2
86,9,21,Breadth-first,Solved,1,208,0.122973,2500,"(3, 1)","(1, 1)",2
87,9,21,Depth-first,Solved,1,639,0.058803,2500,"(3, 1)","(1, 1)",2
88,9,22,Random,Solved,1,49,0.005494,2500,"(3, 1)","(1, 1)",2
89,9,22,No_reverse,Solved,1,964,0.101499,2500,"(3, 1)","(1, 1)",2
90,9,22,Breadth-first,Solved,1,1,0.000776,2500,"(3, 1)","(1, 1)",2
91,9,22,Depth-first,Solved,1,45,0.013100,2500,"(3, 1)","(1, 1)",2
92,9,23,Random,Solved,1,1908,0.204141,2500,"(3, 1)","(1, 1)",2
93,9,23,No_reverse,Solved,1,432,0.047289,2500,"(3, 1)","(1, 1)",2
94,9,23,Breadth-first,Unsolved,1,2500,1.409821,2500,"(3, 1)","(1, 1)",2
95,9,23,Depth-first,Solved,1,1448,0.268500,2500,"(3, 1)","(1, 1)",2
96,9,24,Random,Solved,1,64,0.025892,2500,"(3, 1)","(1, 1)",2
97,9,24,No_reverse,Solved,1,429,0.125654,2500,"(3, 1)","(1, 1)",2
98,9,24,Breadth-first,Unsolved,1,2500,2.042900,2500,"(3, 1)","(1, 1)",2
99,9,24,Depth-first,Solved,1,432,0.056686,2500,"(3, 1)","(1, 1)",2
100,9,25,Random,Solved,1,105,0.010030,2500,"(3, 1)","(1, 1)",2
101,9,25,No_reverse,Solved,1,4,0.000439,2500,"(3, 1)","(1, 1)",2
102,9,25,Breadth-first,Solved,1,355,0.365634,2500,"(3, 1)","(1, 1)",2
103,9,25,Depth-first,Solved,1,50,0.005919,2500,"(3, 1)","(1, 1)",2
104,9,26,Random,Unsolved,1,2500,0.530443,2500,"(3, 1)","(1, 1)",2
105,9,26,No_reverse,Solved,1,2315,0.386414,2500,"(3, 1)","(1, 1)",2
106,9,26,Breadth-first,Unsolved,1,2500,2.661024,2500,"(3, 1)","(1, 1)",2
107,9,26,Depth-first,Solved,1,1619,0.259575,2500,"(3, 1)","(1, 1)",2
108,9,27,Random,Solved,1,215,0.020414,2500,"(3, 1)","(1, 1)",2
109,9,27,No_reverse,Solved,1,190,0.017686,2500,"(3, 1)","(1, 1)",2
110,9,27,Breadth-first,Solved,1,49,0.109993,2500,"(3, 1)","(1, 1)",2
111,9,27,Depth-first,Solved,1,14,0.001375,2500,"(3, 1)","(1, 1)",2
112,9,28,Random,Solved,1,1022,0.137842,2500,"(3, 1)","(1, 1)",2
113,9,28,No_reverse,Unsolved,1,2500,0.415537,2500,"(3, 1)","(1, 1)",2
114,9,28,Breadth-first,Unsolved,1,2500,2.729360,2500,"(3, 1)","(1, 1)",2
115,9,28,Depth-first,Unsolved,1,2500,0.395998,2500,"(3, 1)","(1, 1)",2
116,9,29,Random,Solved,1,1417,0.251638,2500,"(3, 1)","(1, 1)",2
117,9,29,No_reverse,Solved,1,2391,0.438136,2500,"(3, 1)","(1, 1)",2
118,9,29,Breadth-first,Unsolved,1,2500,2.683863,2500,"(3, 1)","(1, 1)",2
119,9,29,Depth-first,Unsolved,1,2500,0.528882,2500,"(3, 1)","(1, 1)",2
120,9,20,Random,Solved,1,836,0.103524,2500,"(3, 1)","(1, 1)",2
121,9,20,No_reverse,Solved,1,364,0.029682,2500,"(3, 1)","(1, 1)",2
122,9,20,Breadth-first,Unsolved,1,2500,2.064329,2500,"(3, 1)","(1, 1)",2
123,9,20,Depth-first,Solved,1,1169,0.203579,2500,"(3, 1)","(1, 1)",2
124,9,21,Random,Unsolved,1,2500,0.412508,2500,"(3, 1)","(1, 1)",2
125,9,21,No_reverse,Unsolved,1,2500,0.447136,2500,"(3, 1)","(1, 1)",2
126,9,21,Breadth-first,Unsolved,1,2500,2.722309,2500,"(3, 1)","(1, 1)",2
127,9,21,Depth-first,Unsolved,1,2500,0.498256,2500,"(3, 1)","(1, 1)",2
128,9,22,Random,Solved,1,264,0.025575,2500,"(3, 1)","(1, 1)",2
129,9,22,No_reverse,Solved,1,90,0.008423,2500,"(3, 1)","(1, 1)",2
130,9,22,Breadth-first,Solved,1,1,0.000755,2500,"(3, 1)","(1, 1)",2
131,9,22,Depth-first,Solved,1,2354,0.436488,2500,"(3, 1)","(1, 1)",2
132,9,23,Random,Solved,1,1336,0.239529,2500,"(3, 1)","(1, 1)",2
133,9,23,No_reverse,Solved,1,250,0.026203,2500,"(3, 1)","(1, 1)",2
134,9,23,Breadth-first,Unsolved,1,2500,2.490826,2500,"(3, 1)","(1, 1)",2
