,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,6,Random,Solved,1,19,0.000545,2500,"(3, 1)","(1, 1)",2
1,6,6,No_reverse,Solved,1,19,0.000480,2500,"(3, 1)","(1, 1)",2
2,6,6,Breadth-first,Solved,1,1,0.000391,2500,"(3, 1)","(1, 1)",2
3,6,6,Depth-first,Solved,1,6,0.000185,2500,"(3, 1)","(1, 1)",2
4,6,7,Random,Solved,1,146,0.005047,2500,"(3, 1)","(1, 1)",2
5,6,7,No_reverse,Solved,1,90,0.008776,2500,"(3, 1)","(1, 1)",2
6,6,7,Breadth-first,Solved,1,2144,0.512171,2500,"(3, 1)","(1, 1)",2
7,6,7,Depth-first,Solved,1,154,0.005553,2500,"(3, 1)","(1, 1)",2
8,6,8,Random,Solved,1,6,0.000234,2500,"(3, 1)","(1, 1)",2
9,6,8,No_reverse,Solved,1,20,0.000729,2500,"(3, 1)","(1, 1)",2
10,6,8,Breadth-first,Solved,1,97,0.022963,2500,"(3, 1)","(1, 1)",2
11,6,8,Depth-first,Solved,1,81,0.004249,2500,"(3, 1)","(1, 1)",2
12,6,9,Random,Solved,1,88,0.003160,2500,"(3, 1)","(1, 1)",2
13,6,9,No_reverse,Solved,1,15,0.000489,2500,"(3, 1)","(1, 1)",2
14,6,9,Breadth-first,Solved,1,1,0.000419,2500,"(3, 1)","(1, 1)",2
15,6,9,Depth-first,Solved,1,56,0.001787,2500,"(3, 1)","(1, 1)",2
16,6,10,Random,Solved,1,12,0.000477,2500,"(3, 1)","(1, 1)",2
17,6,10,No_reverse,Solved,1,6,0.000246,2500,"(3, 1)","(1, 1)",2
18,6,10,Breadth-first,Solved,1,1,0.000437,2500,"(3, 1)","(1, 1)",2
19,6,10,Depth-first,Solved,1,14,0.000578,2500,"(3, 1)","(1, 1)",2
20,6,11,Random,Solved,1,53,0.001845,2500,"(3, 1)","(1, 1)",2
21,6,11,No_reverse,Solved,1,48,0.001632,2500,"(3, 1)","(1, 1)",2
22,6,11,Breadth-first,Unsolved,1,2500,0.731538,2500,"(3, 1)","(1, 1)",2
