,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,6,Random,Solved,1,118,0.002865,2500,"(3, 1)","(3, 1)",2
1,6,6,No_reverse,Solved,1,86,0.002140,2500,"(3, 1)","(3, 1)",2
2,6,6,Breadth-first,Unsolved,1,2500,0.585246,2500,"(3, 1)","(3, 1)",2
3,6,6,Depth-first,Solved,1,45,0.002908,2500,"(3, 1)","(3, 1)",2
4,6,7,Random,Solved,1,309,0.010036,2500,"(3, 1)","(3, 1)",2
5,6,7,No_reverse,Solved,1,244,0.013627,2500,"(3, 1)","(3, 1)",2
6,6,7,Breadth-first,Solved,1,167,0.059150,2500,"(3, 1)","(3, 1)",2
7,6,7,Depth-first,Solved,1,32,0.001112,2500,"(3, 1)","(3, 1)",2
8,6,8,Random,Solved,1,55,0.002512,2500,"(3, 1)","(3, 1)",2
9,6,8,No_reverse,Solved,1,64,0.004780,2500,"(3, 1)","(3, 1)",2
10,6,8,Breadth-first,Solved,1,139,0.031173,2500,"(3, 1)","(3, 1)",2
11,6,8,Depth-first,Solved,1,3,0.000142,2500,"(3, 1)","(3, 1)",2
12,6,9,Random,Solved,1,16,0.000577,2500,"(3, 1)","(3, 1)",2
13,6,9,No_reverse,Solved,1,18,0.000566,2500,"(3, 1)","(3, 1)",2
14,6,9,Breadth-first,Solved,1,1,0.000408,2500,"(3, 1)","(3, 1)",2
15,6,9,Depth-first,Solved,1,1,0.000061,2500,"(3, 1)","(3, 1)",2
16,6,10,Random,Solved,1,134,0.005243,2500,"(3, 1)","(3, 1)",2
17,6,10,No_reverse,Solved,1,7,0.000294,2500,"(3, 1)","(3, 1)",2
18,6,10,Breadth-first,Solved,1,62,0.015107,2500,"(3, 1)","(3, 1)",2
19,6,10,Depth-first,Solved,1,16,0.000685,2500,"(3, 1)","(3, 1)",2
20,6,11,Random,Solved,1,197,0.025395,2500,"(3, 1)","(3, 1)",2
21,6,11,No_reverse,Solved,1,83,0.003273,2500,"(3, 1)","(3, 1)",2
22,6,11,Breadth-first,Solved,1,205,0.149614,2500,"(3, 1)","(3, 1)",2
23,6,11,Depth-first,Solved,1,860,0.035389,2500,"(3, 1)","(3, 1)",2
24,6,12,Random,Solved,1,634,0.026151,2500,"(3, 1)","(3, 1)",2
