,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,462,0.050417,2500,"(3, 1)","(1, 1)",2
1,9,20,No_reverse,Solved,1,239,0.023844,2500,"(3, 1)","(1, 1)",2
2,9,20,Breadth-first,Unsolved,1,2500,1.126555,2500,"(3, 1)","(1, 1)",2
3,9,20,Depth-first,Solved,1,54,0.005556,2500,"(3, 1)","(1, 1)",2
4,9,21,Random,Solved,1,15,0.001235,2500,"(3, 1)","(1, 1)",2
5,9,21,No_reverse,Solved,1,76,0.006074,2500,"(3, 1)","(1, 1)",2
6,9,21,Breadth-first,Solved,1,1,0.000740,2500,"(3, 1)","(1, 1)",2
7,9,21,Depth-first,Solved,1,110,0.009159,2500,"(3, 1)","(1, 1)",2
8,9,22,Random,Solved,1,76,0.008651,2500,"(3, 1)","(1, 1)",2
9,9,22,No_reverse,Solved,1,6,0.000670,2500,"(3, 1)","(1, 1)",2
10,9,22,Breadth-first,Solved,1,1,0.000795,2500,"(3, 1)","(1, 1)",2
11,9,22,Depth-first,Solved,1,55,0.006062,2500,"(3, 1)","(1, 1)",2
12,9,23,Random,Unsolved,1,2500,0.221545,2500,"(3, 1)","(1, 1)",2
13,9,23,No_reverse,Solved,1,1246,0.109538,2500,"(3, 1)","(1, 1)",2
14,9,23,Breadth-first,Unsolved,1,2500,1.230221,2500,"(3, 1)","(1, 1)",2
15,9,23,Depth-first,Unsolved,1,2500,0.236312,2500,"(3, 1)","(1, 1)",2
16,9,24,Random,Solved,1,178,0.017604,2500,"(3, 1)","(1, 1)",2
17,9,24,No_reverse,Solved,1,308,0.030757,2500,"(3, 1)","(1, 1)",2
18,9,24,Breadth-first,Unsolved,1,2500,1.296523,2500,"(3, 1)","(1, 1)",2
19,9,24,Depth-first,Unsolved,1,2500,0.256699,2500,"(3, 1)","(1, 1)",2
20,9,25,Random,Solved,1,1491,0.139884,2500,"(3, 1)","(1, 1)",2
21,9,25,No_reverse,Unsolved,1,2500,0.233756,2500,"(3, 1)","(1, 1)",2
22,9,25,Breadth-first,Unsolved,1,2500,1.271640,2500,"(3, 1)","(1, 1)",2
23,9,25,Depth-first,Solved,1,684,0.062422,2500,"(3, 1)","(1, 1)",2
24,9,26,Random,Solved,1,176,0.015703,2500,"(3, 1)","(1, 1)",2
25,9,26,No_reverse,Solved,1,204,0.018582,2500,"(3, 1)","(1, 1)",2
26,9,26,Breadth-first,Unsolved,1,2500,1.278462,2500,"(3, 1)","(1, 1)",2
27,9,26,Depth-first,Solved,1,397,0.038499,2500,"(3, 1)","(1, 1)",2
28,9,27,Random,Unsolved,1,2500,0.244360,2500,"(3, 1)","(1, 1)",2
29,9,27,No_reverse,Unsolved,1,2500,0.246820,2500,"(3, 1)","(1, 1)",2
30,9,27,Breadth-first,Unsolved,1,2500,1.359807,2500,"(3, 1)","(1, 1)",2
31,9,27,Depth-first,Unsolved,1,2500,0.247312,2500,"(3, 1)","(1, 1)",2
32,9,28,Random,Solved,1,53,0.004568,2500,"(3, 1)","(1, 1)",2
33,9,28,No_reverse,Solved,1,279,0.023832,2500,"(3, 1)","(1, 1)",2
34,9,28,Breadth-first,Solved,1,1,0.000846,2500,"(3, 1)","(1, 1)",2
35,9,28,Depth-first,Solved,1,306,0.026772,2500,"(3, 1)","(1, 1)",2
36,9,29,Random,Solved,1,1491,0.143296,2500,"(3, 1)","(1, 1)",2
37,9,29,No_reverse,Solved,1,1666,0.161076,2500,"(3, 1)","(1, 1)",2
38,9,29,Breadth-first,Unsolved,1,2500,1.347877,2500,"(3, 1)","(1, 1)",2
39,9,29,Depth-first,Solved,1,768,0.075561,2500,"(3, 1)","(1, 1)",2
40,9,20,Random,Unsolved,1,2500,0.209397,2500,"(3, 1)","(1, 1)",2
41,9,20,No_reverse,Solved,1,648,0.054194,2500,"(3, 1)","(1, 1)",2
42,9,20,Breadth-first,Unsolved,1,2500,1.066302,2500,"(3, 1)","(1, 1)",2
43,9,20,Depth-first,Solved,1,375,0.033533,2500,"(3, 1)","(1, 1)",2
44,9,21,Random,Solved,1,820,0.071404,2500,"(3, 1)","(1, 1)",2
45,9,21,No_reverse,Unsolved,1,2500,0.209852,2500,"(3, 1)","(1, 1)",2
46,9,21,Breadth-first,Unsolved,1,2500,1.104081,2500,"(3, 1)","(1, 1)",2
47,9,21,Depth-first,Solved,1,2178,0.190206,2500,"(3, 1)","(1, 1)",2
48,9,22,Random,Solved,1,74,0.006897,2500,"(3, 1)","(1, 1)",2
49,9,22,No_reverse,Solved,1,156,0.013546,2500,"(3, 1)","(1, 1)",2
50,9,22,Breadth-first,Solved,1,619,0.266477,2500,"(3, 1)","(1, 1)",2
51,9,22,Depth-first,Solved,1,50,0.004661,2500,"(3, 1)","(1, 1)",2
52,9,23,Random,Solved,1,78,0.008109,2500,"(3, 1)","(1, 1)",2
53,9,23,No_reverse,Solved,1,216,0.022084,2500,"(3, 1)","(1, 1)",2
54,9,23,Breadth-first,Solved,1,1201,0.559023,2500,"(3, 1)","(1, 1)",2
55,9,23,Depth-first,Solved,1,13,0.001433,2500,"(3, 1)","(1, 1)",2
56,9,24,Random,Solved,1,2279,0.212425,2500,"(3, 1)","(1, 1)",2
57,9,24,No_reverse,Solved,1,836,0.078672,2500,"(3, 1)","(1, 1)",2
58,9,24,Breadth-first,Unsolved,1,2500,1.336441,2500,"(3, 1)","(1, 1)",2
59,9,24,Depth-first,Solved,1,90,0.017905,2500,"(3, 1)","(1, 1)",2
60,9,25,Random,Solved,1,90,0.018192,2500,"(3, 1)","(1, 1)",2
61,9,25,No_reverse,Solved,1,2303,0.299017,2500,"(3, 1)","(1, 1)",2
62,9,25,Breadth-first,Unsolved,1,2500,1.324961,2500,"(3, 1)","(1, 1)",2
63,9,25,Depth-first,Solved,1,846,0.083119,2500,"(3, 1)","(1, 1)",2
64,9,26,Random,Unsolved,1,2500,0.211354,2500,"(3, 1)","(1, 1)",2
65,9,26,No_reverse,Unsolved,1,2500,0.212557,2500,"(3, 1)","(1, 1)",2
66,9,26,Breadth-first,Unsolved,1,2500,1.233467,2500,"(3, 1)","(1, 1)",2
67,9,26,Depth-first,Solved,1,192,0.016084,2500,"(3, 1)","(1, 1)",2
68,9,27,Random,Unsolved,1,2500,0.240235,2500,"(3, 1)","(1, 1)",2
69,9,27,No_reverse,Unsolved,1,2500,0.235906,2500,"(3, 1)","(1, 1)",2
70,9,27,Breadth-first,Unsolved,1,2500,1.324098,2500,"(3, 1)","(1, 1)",2
71,9,27,Depth-first,Unsolved,1,2500,0.242107,2500,"(3, 1)","(1, 1)",2
72,9,28,Random,Solved,1,1976,0.176660,2500,"(3, 1)","(1, 1)",2
73,9,28,No_reverse,Solved,1,202,0.018303,2500,"(3, 1)","(1, 1)",2
74,9,28,Breadth-first,Solved,1,419,0.204328,2500,"(3, 1)","(1, 1)",2
75,9,28,Depth-first,Solved,1,197,0.018621,2500,"(3, 1)","(1, 1)",2
