,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,9,20,Random,Solved,1,240,0.046496,2500,"(3, 1)","(10, 1)",2
1,9,20,No_reverse,Solved,1,77,0.010299,2500,"(3, 1)","(10, 1)",2
2,9,20,Breadth-first,Solved,1,1388,1.007880,2500,"(3, 1)","(10, 1)",2
3,9,20,Depth-first,Solved,1,18,0.002044,2500,"(3, 1)","(10, 1)",2
4,9,21,Random,Solved,1,61,0.005400,2500,"(3, 1)","(10, 1)",2
5,9,21,No_reverse,Solved,1,197,0.017148,2500,"(3, 1)","(10, 1)",2
6,9,21,Breadth-first,Solved,1,1,0.000739,2500,"(3, 1)","(10, 1)",2
7,9,21,Depth-first,Solved,1,153,0.030059,2500,"(3, 1)","(10, 1)",2
8,9,22,Random,Solved,1,71,0.007279,2500,"(3, 1)","(10, 1)",2
9,9,22,No_reverse,Solved,1,25,0.002548,2500,"(3, 1)","(10, 1)",2
10,9,22,Breadth-first,Solved,1,1,0.000789,2500,"(3, 1)","(10, 1)",2
11,9,22,Depth-first,Solved,1,32,0.010356,2500,"(3, 1)","(10, 1)",2
12,9,23,Random,Solved,1,253,0.044840,2500,"(3, 1)","(10, 1)",2
13,9,23,No_reverse,Solved,1,251,0.030623,2500,"(3, 1)","(10, 1)",2
14,9,23,Breadth-first,Solved,1,1,0.000818,2500,"(3, 1)","(10, 1)",2
15,9,23,Depth-first,Solved,1,156,0.028391,2500,"(3, 1)","(10, 1)",2
16,9,24,Random,Solved,1,96,0.027404,2500,"(3, 1)","(10, 1)",2
17,9,24,No_reverse,Solved,1,14,0.001326,2500,"(3, 1)","(10, 1)",2
18,9,24,Breadth-first,Solved,1,1,0.000804,2500,"(3, 1)","(10, 1)",2
19,9,24,Depth-first,Solved,1,173,0.019208,2500,"(3, 1)","(10, 1)",2
20,9,25,Random,Solved,1,13,0.001370,2500,"(3, 1)","(10, 1)",2
21,9,25,No_reverse,Solved,1,57,0.005746,2500,"(3, 1)","(10, 1)",2
22,9,25,Breadth-first,Solved,1,1,0.000802,2500,"(3, 1)","(10, 1)",2
23,9,25,Depth-first,Solved,1,60,0.006204,2500,"(3, 1)","(10, 1)",2
