,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,12,Random,Solved,1,27,0.001871,2500,"(3, 1)","(1, 1)",2
1,6,12,No_reverse,Solved,1,127,0.007307,2500,"(3, 1)","(1, 1)",2
2,6,12,Breadth-first,Solved,1,1,0.000694,2500,"(3, 1)","(1, 1)",2
3,6,12,Depth-first,Solved,1,39,0.002234,2500,"(3, 1)","(1, 1)",2
4,6,12,Random,Solved,1,21,0.001103,2500,"(3, 1)","(1, 1)",2
5,6,12,No_reverse,Solved,1,43,0.002108,2500,"(3, 1)","(1, 1)",2
6,6,12,Breadth-first,Solved,1,74,0.020408,2500,"(3, 1)","(1, 1)",2
7,6,12,Depth-first,Solved,1,223,0.009404,2500,"(3, 1)","(1, 1)",2
8,6,12,Random,Solved,1,1161,0.040352,2500,"(3, 1)","(1, 1)",2
9,6,12,No_reverse,Solved,1,2179,0.074181,2500,"(3, 1)","(1, 1)",2
10,6,12,Breadth-first,Unsolved,1,2500,0.677444,2500,"(3, 1)","(1, 1)",2
11,6,12,Depth-first,Solved,1,1465,0.052713,2500,"(3, 1)","(1, 1)",2
12,6,12,Random,Solved,1,91,0.003428,2500,"(3, 1)","(1, 1)",2
13,6,12,No_reverse,Solved,1,132,0.005094,2500,"(3, 1)","(1, 1)",2
14,6,12,Breadth-first,Solved,1,48,0.011858,2500,"(3, 1)","(1, 1)",2
15,6,12,Depth-first,Solved,1,6,0.000299,2500,"(3, 1)","(1, 1)",2
16,6,12,Random,Solved,1,11,0.000514,2500,"(3, 1)","(1, 1)",2
17,6,12,No_reverse,Solved,1,87,0.003569,2500,"(3, 1)","(1, 1)",2
18,6,12,Breadth-first,Solved,1,165,0.039269,2500,"(3, 1)","(1, 1)",2
19,6,12,Depth-first,Solved,1,187,0.008013,2500,"(3, 1)","(1, 1)",2
20,6,12,Random,Solved,1,35,0.001450,2500,"(3, 1)","(1, 1)",2
21,6,12,No_reverse,Solved,1,51,0.002036,2500,"(3, 1)","(1, 1)",2
22,6,12,Breadth-first,Solved,1,160,0.056370,2500,"(3, 1)","(1, 1)",2
23,6,12,Depth-first,Solved,1,20,0.000855,2500,"(3, 1)","(1, 1)",2
24,6,12,Random,Solved,1,229,0.009349,2500,"(3, 1)","(1, 1)",2
25,6,12,No_reverse,Solved,1,511,0.019518,2500,"(3, 1)","(1, 1)",2
26,6,12,Breadth-first,Solved,1,752,0.195047,2500,"(3, 1)","(1, 1)",2
27,6,12,Depth-first,Solved,1,59,0.002370,2500,"(3, 1)","(1, 1)",2
28,6,12,Random,Solved,1,65,0.002448,2500,"(3, 1)","(1, 1)",2
29,6,12,No_reverse,Solved,1,35,0.001178,2500,"(3, 1)","(1, 1)",2
30,6,12,Breadth-first,Solved,1,82,0.019213,2500,"(3, 1)","(1, 1)",2
31,6,12,Depth-first,Solved,1,25,0.000910,2500,"(3, 1)","(1, 1)",2
32,6,12,Random,Solved,1,312,0.011964,2500,"(3, 1)","(1, 1)",2
33,6,12,No_reverse,Solved,1,486,0.018479,2500,"(3, 1)","(1, 1)",2
34,6,12,Breadth-first,Solved,1,870,0.222600,2500,"(3, 1)","(1, 1)",2
35,6,12,Depth-first,Solved,1,1876,0.088154,2500,"(3, 1)","(1, 1)",2
36,6,12,Random,Solved,1,374,0.014013,2500,"(3, 1)","(1, 1)",2
37,6,12,No_reverse,Solved,1,160,0.005889,2500,"(3, 1)","(1, 1)",2
38,6,12,Breadth-first,Solved,1,466,0.104732,2500,"(3, 1)","(1, 1)",2
39,6,12,Depth-first,Solved,1,1794,0.069092,2500,"(3, 1)","(1, 1)",2
