,size,num_cars,algorithm,solved,lock_limit,moves,time,move_max,car_truck_ratio,HV_ratio,min_exit_distance
0,6,6,Random,Solved,1,707,0.018568,2500,"(3, 1)","(1, 3)",2
1,6,6,No_reverse,Solved,1,532,0.018474,2500,"(3, 1)","(1, 3)",2
2,6,6,Breadth-first,Solved,1,640,0.172519,2500,"(3, 1)","(1, 3)",2
3,6,6,Depth-first,Solved,1,1356,0.034675,2500,"(3, 1)","(1, 3)",2
4,6,7,Random,Solved,1,64,0.001828,2500,"(3, 1)","(1, 3)",2
5,6,7,No_reverse,Solved,1,127,0.003408,2500,"(3, 1)","(1, 3)",2
6,6,7,Breadth-first,Solved,1,1559,0.411094,2500,"(3, 1)","(1, 3)",2
7,6,7,Depth-first,Solved,1,172,0.006475,2500,"(3, 1)","(1, 3)",2
8,6,8,Random,Solved,1,253,0.014584,2500,"(3, 1)","(1, 3)",2
9,6,8,No_reverse,Solved,1,143,0.005188,2500,"(3, 1)","(1, 3)",2
10,6,8,Breadth-first,Unsolved,1,2500,0.796333,2500,"(3, 1)","(1, 3)",2
11,6,8,Depth-first,Solved,1,196,0.007198,2500,"(3, 1)","(1, 3)",2
12,6,9,Random,Solved,1,516,0.035224,2500,"(3, 1)","(1, 3)",2
13,6,9,No_reverse,Solved,1,767,0.034826,2500,"(3, 1)","(1, 3)",2
14,6,9,Breadth-first,Unsolved,1,2500,0.847427,2500,"(3, 1)","(1, 3)",2
15,6,9,Depth-first,Unsolved,1,2500,0.090301,2500,"(3, 1)","(1, 3)",2
16,6,10,Random,Solved,1,37,0.001440,2500,"(3, 1)","(1, 3)",2
17,6,10,No_reverse,Solved,1,29,0.001111,2500,"(3, 1)","(1, 3)",2
18,6,10,Breadth-first,Solved,1,1,0.000458,2500,"(3, 1)","(1, 3)",2
19,6,10,Depth-first,Solved,1,15,0.000595,2500,"(3, 1)","(1, 3)",2
20,6,11,Random,Solved,1,265,0.016111,2500,"(3, 1)","(1, 3)",2
21,6,11,No_reverse,Solved,1,1576,0.067450,2500,"(3, 1)","(1, 3)",2
22,6,11,Breadth-first,Unsolved,1,2500,0.935940,2500,"(3, 1)","(1, 3)",2
23,6,11,Depth-first,Solved,1,862,0.036513,2500,"(3, 1)","(1, 3)",2
24,6,12,Random,Solved,1,2364,0.133348,2500,"(3, 1)","(1, 3)",2
25,6,12,No_reverse,Solved,1,327,0.050990,2500,"(3, 1)","(1, 3)",2
26,6,12,Breadth-first,Unsolved,1,2500,0.954323,2500,"(3, 1)","(1, 3)",2
27,6,12,Depth-first,Unsolved,1,2500,0.148733,2500,"(3, 1)","(1, 3)",2
28,6,13,Random,Solved,1,2171,0.122530,2500,"(3, 1)","(1, 3)",2
29,6,13,No_reverse,Solved,1,225,0.009669,2500,"(3, 1)","(1, 3)",2
30,6,13,Breadth-first,Unsolved,1,2500,0.944424,2500,"(3, 1)","(1, 3)",2
31,6,13,Depth-first,Solved,1,210,0.008948,2500,"(3, 1)","(1, 3)",2
32,6,14,Random,Solved,1,9,0.001229,2500,"(3, 1)","(1, 3)",2
33,6,14,No_reverse,Solved,1,65,0.005475,2500,"(3, 1)","(1, 3)",2
