,time
Index_1,0.07856917381286621
Index_2,0.0759589672088623
Index_3,0.07463908195495605
Index_4,0.07370114326477051
Index_5,0.07236003875732422
Index_6,0.07522296905517578
Index_7,0.08680510520935059
Index_8,0.07468318939208984
Index_9,0.02704620361328125
Index_10,0.02704620361328125
Index_11,0.02704620361328125
Index_12,0.02704620361328125
Index_13,0.02704620361328125
Index_14,0.02704620361328125
Index_15,0.02704620361328125
Index_16,0.02704620361328125
Index_17,0.02704620361328125
Index_18,0.02704620361328125
Index_19,0.02704620361328125
Index_20,0.02704620361328125
Index_21,0.02704620361328125
Index_22,0.02704620361328125
Index_23,0.02704620361328125
Index_24,0.02704620361328125
Index_25,0.02704620361328125
Index_26,0.02704620361328125
Index_27,0.02704620361328125
Index_28,0.02704620361328125
Index_29,0.02704620361328125
Index_30,0.02704620361328125
Index_31,0.02704620361328125
Index_32,0.02704620361328125
Index_33,0.02704620361328125
Index_34,0.02704620361328125
Index_35,0.02704620361328125
Index_36,0.02704620361328125
Index_37,0.02704620361328125
Index_38,0.02704620361328125
Index_39,0.02704620361328125
Index_40,0.02704620361328125
Index_41,0.02704620361328125
Index_42,0.02704620361328125
Index_43,0.02704620361328125
Index_44,0.02704620361328125
Index_45,0.02704620361328125
Index_46,0.02704620361328125
Index_47,0.02704620361328125
Index_48,0.02704620361328125
Index_49,0.02704620361328125
Index_50,0.02704620361328125
Index_51,0.02704620361328125
Index_52,0.02704620361328125
Index_53,0.02704620361328125
Index_54,0.02704620361328125
Index_55,0.02704620361328125
Index_56,0.02704620361328125
Index_57,0.02704620361328125
Index_58,0.02704620361328125
Index_59,0.02704620361328125
Index_60,0.02704620361328125
Index_61,0.02704620361328125
Index_62,0.02704620361328125
Index_63,0.02704620361328125
Index_64,0.02704620361328125
Index_65,0.02704620361328125
Index_66,0.02704620361328125
Index_67,0.02704620361328125
Index_68,0.02704620361328125
Index_69,0.02704620361328125
Index_70,0.02704620361328125
Index_71,0.02704620361328125
Index_72,0.02704620361328125
Index_73,0.02704620361328125
Index_74,0.02704620361328125
Index_75,0.02704620361328125
Index_76,0.02704620361328125
Index_77,0.02704620361328125
Index_78,0.02704620361328125
Index_79,0.02704620361328125
Index_80,0.02704620361328125
Index_81,0.02704620361328125
Index_82,0.02704620361328125
Index_83,0.02704620361328125
Index_84,0.02704620361328125
Index_85,0.02704620361328125
Index_86,0.02704620361328125
Index_87,0.02704620361328125
Index_88,0.02704620361328125
Index_89,0.02704620361328125
Index_90,0.02704620361328125
Index_91,0.02704620361328125
Index_92,0.02704620361328125
Index_93,0.02704620361328125
Index_94,0.02704620361328125
Index_95,0.02704620361328125
Index_96,0.02704620361328125
Index_97,0.02704620361328125
Index_98,0.02704620361328125
Index_99,0.02704620361328125
Index_100,0.02704620361328125
